software;mouseReMoCo;;;screenHeight 995;centerX 953;centerY 497;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 536;cornerY 80;externalRadius 417;internalRadius 337;borderRadius 1;cursorRadius 16;indexOfDifficulty 50.33232485432158;taskRadius 376.5;taskTolerance 47
01/12/2025;16:16:42.378;100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
timestamp;mouseX;mouseY;mouseInTarget;;;;;;;;;;;;;;;;;;;;;
1764602208249;687;229;1;;;;;;;;;;;;;;;;;;;;;
1764602208257;685;231;1;;;;;;;;;;;;;;;;;;;;;
1764602208263;684;233;1;;;;;;;;;;;;;;;;;;;;;
1764602208272;681;236;1;;;;;;;;;;;;;;;;;;;;;
1764602208279;680;238;1;;;;;;;;;;;;;;;;;;;;;
1764602208285;678;240;1;;;;;;;;;;;;;;;;;;;;;
1764602208294;676;242;1;;;;;;;;;;;;;;;;;;;;;
1764602208299;674;245;1;;;;;;;;;;;;;;;;;;;;;
1764602208307;672;248;1;;;;;;;;;;;;;;;;;;;;;
1764602208313;670;251;1;;;;;;;;;;;;;;;;;;;;;
1764602208321;668;255;1;;;;;;;;;;;;;;;;;;;;;
1764602208328;666;258;1;;;;;;;;;;;;;;;;;;;;;
1764602208335;663;263;1;;;;;;;;;;;;;;;;;;;;;
1764602208342;661;266;1;;;;;;;;;;;;;;;;;;;;;
1764602208351;658;271;1;;;;;;;;;;;;;;;;;;;;;
1764602208356;655;274;1;;;;;;;;;;;;;;;;;;;;;
1764602208364;653;278;1;;;;;;;;;;;;;;;;;;;;;
1764602208371;651;280;1;;;;;;;;;;;;;;;;;;;;;
1764602208378;649;282;1;;;;;;;;;;;;;;;;;;;;;
1764602208385;647;286;1;;;;;;;;;;;;;;;;;;;;;
1764602208392;646;288;1;;;;;;;;;;;;;;;;;;;;;
1764602208398;644;290;1;;;;;;;;;;;;;;;;;;;;;
1764602208407;641;292;1;;;;;;;;;;;;;;;;;;;;;
1764602208413;640;295;1;;;;;;;;;;;;;;;;;;;;;
1764602208420;637;298;1;;;;;;;;;;;;;;;;;;;;;
1764602208427;636;301;1;;;;;;;;;;;;;;;;;;;;;
1764602208434;633;305;1;;;;;;;;;;;;;;;;;;;;;
1764602208442;630;308;1;;;;;;;;;;;;;;;;;;;;;
1764602208450;628;312;1;;;;;;;;;;;;;;;;;;;;;
1764602208455;626;315;1;;;;;;;;;;;;;;;;;;;;;
1764602208464;625;318;1;;;;;;;;;;;;;;;;;;;;;
1764602208470;622;322;1;;;;;;;;;;;;;;;;;;;;;
1764602208478;621;325;1;;;;;;;;;;;;;;;;;;;;;
1764602208484;618;330;1;;;;;;;;;;;;;;;;;;;;;
1764602208492;616;333;1;;;;;;;;;;;;;;;;;;;;;
1764602208498;614;336;1;;;;;;;;;;;;;;;;;;;;;
1764602208506;613;339;1;;;;;;;;;;;;;;;;;;;;;
1764602208513;611;343;1;;;;;;;;;;;;;;;;;;;;;
1764602208520;610;347;1;;;;;;;;;;;;;;;;;;;;;
1764602208527;608;350;1;;;;;;;;;;;;;;;;;;;;;
1764602208535;607;355;1;;;;;;;;;;;;;;;;;;;;;
1764602208543;606;359;1;;;;;;;;;;;;;;;;;;;;;
1764602208548;605;362;1;;;;;;;;;;;;;;;;;;;;;
1764602208556;604;367;1;;;;;;;;;;;;;;;;;;;;;
1764602208563;602;370;1;;;;;;;;;;;;;;;;;;;;;
1764602208570;601;374;1;;;;;;;;;;;;;;;;;;;;;
1764602208577;600;378;1;;;;;;;;;;;;;;;;;;;;;
1764602208584;599;382;1;;;;;;;;;;;;;;;;;;;;;
1764602208599;597;388;1;;;;;;;;;;;;;;;;;;;;;
1764602208606;596;393;1;;;;;;;;;;;;;;;;;;;;;
1764602208612;594;400;1;;;;;;;;;;;;;;;;;;;;;
1764602208620;592;405;1;;;;;;;;;;;;;;;;;;;;;
1764602208626;591;411;1;;;;;;;;;;;;;;;;;;;;;
1764602208633;589;416;1;;;;;;;;;;;;;;;;;;;;;
1764602208641;588;422;1;;;;;;;;;;;;;;;;;;;;;
1764602208649;588;428;1;;;;;;;;;;;;;;;;;;;;;
1764602208655;587;432;1;;;;;;;;;;;;;;;;;;;;;
1764602208662;586;436;1;;;;;;;;;;;;;;;;;;;;;
1764602208669;585;441;1;;;;;;;;;;;;;;;;;;;;;
1764602208677;584;445;1;;;;;;;;;;;;;;;;;;;;;
1764602208684;584;448;1;;;;;;;;;;;;;;;;;;;;;
1764602208691;583;451;1;;;;;;;;;;;;;;;;;;;;;
1764602208698;582;455;1;;;;;;;;;;;;;;;;;;;;;
1764602208705;582;458;1;;;;;;;;;;;;;;;;;;;;;
1764602208714;582;461;1;;;;;;;;;;;;;;;;;;;;;
1764602208719;582;464;1;;;;;;;;;;;;;;;;;;;;;
1764602208727;582;466;1;;;;;;;;;;;;;;;;;;;;;
1764602208734;582;468;1;;;;;;;;;;;;;;;;;;;;;
1764602208741;582;470;1;;;;;;;;;;;;;;;;;;;;;
1764602208748;582;471;1;;;;;;;;;;;;;;;;;;;;;
1764602208969;582;475;1;;;;;;;;;;;;;;;;;;;;;
1764602208976;582;481;1;;;;;;;;;;;;;;;;;;;;;
1764602208982;582;486;1;;;;;;;;;;;;;;;;;;;;;
1764602208990;582;493;1;;;;;;;;;;;;;;;;;;;;;
1764602208997;582;500;1;;;;;;;;;;;;;;;;;;;;;
1764602209004;582;507;1;;;;;;;;;;;;;;;;;;;;;
1764602209011;582;515;1;;;;;;;;;;;;;;;;;;;;;
1764602209025;582;524;1;;;;;;;;;;;;;;;;;;;;;
1764602209032;582;532;1;;;;;;;;;;;;;;;;;;;;;
1764602209039;582;540;1;;;;;;;;;;;;;;;;;;;;;
1764602209046;582;547;1;;;;;;;;;;;;;;;;;;;;;
1764602209053;582;553;1;;;;;;;;;;;;;;;;;;;;;
1764602209061;581;559;1;;;;;;;;;;;;;;;;;;;;;
1764602209069;581;564;1;;;;;;;;;;;;;;;;;;;;;
1764602209075;581;569;1;;;;;;;;;;;;;;;;;;;;;
1764602209082;581;572;1;;;;;;;;;;;;;;;;;;;;;
1764602209089;581;574;1;;;;;;;;;;;;;;;;;;;;;
1764602209096;581;577;1;;;;;;;;;;;;;;;;;;;;;
1764602209103;581;580;1;;;;;;;;;;;;;;;;;;;;;
1764602209111;581;583;1;;;;;;;;;;;;;;;;;;;;;
1764602209117;581;587;1;;;;;;;;;;;;;;;;;;;;;
1764602209125;581;590;1;;;;;;;;;;;;;;;;;;;;;
1764602209132;581;594;1;;;;;;;;;;;;;;;;;;;;;
1764602209139;581;597;1;;;;;;;;;;;;;;;;;;;;;
1764602209146;581;602;1;;;;;;;;;;;;;;;;;;;;;
